zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name
10155,"NEW YORK, NY",G,815,G,27909,G,146270,101,NEW YORK,NY,NEW YORK
10156,"NEW YORK, NY",G,13,J,145,H,506,5,NEW YORK,NY,NEW YORK
10158,"NEW YORK, NY",H,3736,J,649648,J,1339649,43,NEW YORK,NY,NEW YORK
10159,"NEW YORK, NY",J,12,H,146,H,595,5,NEW YORK,NY,NEW YORK
10162,"NEW YORK, NY",J,141,J,1545,H,6852,19,NEW YORK,NY,NEW YORK
10163,"NEW YORK, NY",H,42,G,402,J,20671,16,NEW YORK,NY,NEW YORK
10165,"NEW YORK, NY",G,4219,G,142828,G,527448,252,NEW YORK,NY,NEW YORK
10166,"NEW YORK, NY",G,7407,H,487877,G,1903669,117,NEW YORK,NY,NEW YORK
10167,"NEW YORK, NY",G,5953,G,725814,G,2123618,100,NEW YORK,NY,NEW YORK
10168,"NEW YORK, NY",H,2870,H,60771,H,277776,154,NEW YORK,NY,NEW YORK
10169,"NEW YORK, NY",G,2717,G,239671,H,702248,129,NEW YORK,NY,NEW YORK
10170,"NEW YORK, NY",G,2081,G,59490,G,240477,222,NEW YORK,NY,NEW YORK
10171,"NEW YORK, NY",G,1543,H,230215,H,692914,66,NEW YORK,NY,NEW YORK
10172,"NEW YORK, NY",G,7535,H,1216098,G,2727371,56,NEW YORK,NY,NEW YORK
10173,"NEW YORK, NY",H,1555,H,104495,H,366113,44,NEW YORK,NY,NEW YORK
10174,"NEW YORK, NY",G,1703,G,85828,G,360652,103,NEW YORK,NY,NEW YORK
10175,"NEW YORK, NY",G,1952,H,78282,H,347175,92,NEW YORK,NY,NEW YORK
10176,"NEW YORK, NY",G,1236,H,29022,G,171683,73,NEW YORK,NY,NEW YORK
